"license","id","owner","secret","server","farm","title","ispublic","isfriend","isfamily","dateupload","lastupdate","datetaken","datetakengranularity","datetakenunknown","count_views","count_faves","count_comments","accuracy","context","place_id","woeid","geo_is_public","geo_is_contact","geo_is_friend","geo_is_family","url_sq","height_sq","width_sq","url_t","height_t","width_t","url_s","height_s","width_s","url_q","height_q","width_q","url_m","height_m","width_m","url_n","height_n","width_n","url_z","height_z","width_z","url_c","height_c","width_c","url_l","height_l","width_l","url_o","height_o","width_o","longitude","latitude","geometry","within","license_name","license_url"
1,2223782106,"41072040@N00","c7c4605883",2261,3,"On Lake Tana in a boat",NA,NA,NA,2008-01-27 18:12:40,2008-01-27 18:48:10,2008-01-15 07:30:54,0,0,508,0,0,16,0,"gmXEMRBTUb66RWQX",2345309,NA,NA,NA,NA,"https://live.staticflickr.com/2261/2223782106_c7c4605883_s.jpg",75,75,"https://live.staticflickr.com/2261/2223782106_c7c4605883_t.jpg",66,100,"https://live.staticflickr.com/2261/2223782106_c7c4605883_m.jpg",159,240,"https://live.staticflickr.com/2261/2223782106_c7c4605883_q.jpg",150,150,"https://live.staticflickr.com/2261/2223782106_c7c4605883.jpg",332,500,"https://live.staticflickr.com/2261/2223782106_c7c4605883_n.jpg",213,320,"https://live.staticflickr.com/2261/2223782106_c7c4605883_z.jpg",425,640,"https://live.staticflickr.com/2261/2223782106_c7c4605883_c.jpg",531,800,"https://live.staticflickr.com/2261/2223782106_c7c4605883_b.jpg",680,1024,"https://live.staticflickr.com/2261/2223782106_6e33730ce8_o.jpg",1360,2048,37.382419,11.639606,"c(37.382419, 11.639606)","1","Attribution-NonCommercial-ShareAlike License","https://creativecommons.org/licenses/by-nc-sa/2.0/"
1,2223785426,"41072040@N00","8fd2593fbf",2282,3,"Kebran Gabriel Monastery",NA,NA,NA,2008-01-27 18:13:53,2012-02-28 10:43:02,2008-01-15 08:01:41,0,0,579,0,1,16,0,"gmXEMRBTUb66RWQX",2345309,NA,NA,NA,NA,"https://live.staticflickr.com/2282/2223785426_8fd2593fbf_s.jpg",75,75,"https://live.staticflickr.com/2282/2223785426_8fd2593fbf_t.jpg",66,100,"https://live.staticflickr.com/2282/2223785426_8fd2593fbf_m.jpg",159,240,"https://live.staticflickr.com/2282/2223785426_8fd2593fbf_q.jpg",150,150,"https://live.staticflickr.com/2282/2223785426_8fd2593fbf.jpg",332,500,"https://live.staticflickr.com/2282/2223785426_8fd2593fbf_n.jpg",213,320,"https://live.staticflickr.com/2282/2223785426_8fd2593fbf_z.jpg",425,640,"https://live.staticflickr.com/2282/2223785426_8fd2593fbf_c.jpg",531,800,"https://live.staticflickr.com/2282/2223785426_8fd2593fbf_b.jpg",680,1024,"https://live.staticflickr.com/2282/2223785426_7809dcaffd_o.jpg",1360,2048,37.364857,11.649928,"c(37.364857, 11.649928)","1","Attribution-NonCommercial-ShareAlike License","https://creativecommons.org/licenses/by-nc-sa/2.0/"
1,2223001039,"41072040@N00","888883aaee",2265,3,"Kebran Gabriel Monastery — the museum",NA,NA,NA,2008-01-27 18:17:25,2008-01-27 18:48:13,2008-01-15 08:08:05,0,0,519,0,1,16,0,"gmXEMRBTUb66RWQX",2345309,NA,NA,NA,NA,"https://live.staticflickr.com/2265/2223001039_888883aaee_s.jpg",75,75,"https://live.staticflickr.com/2265/2223001039_888883aaee_t.jpg",100,78,"https://live.staticflickr.com/2265/2223001039_888883aaee_m.jpg",240,187,"https://live.staticflickr.com/2265/2223001039_888883aaee_q.jpg",150,150,"https://live.staticflickr.com/2265/2223001039_888883aaee.jpg",500,391,"https://live.staticflickr.com/2265/2223001039_888883aaee_n.jpg",320,250,"https://live.staticflickr.com/2265/2223001039_888883aaee_z.jpg",640,500,"https://live.staticflickr.com/2265/2223001039_888883aaee_c.jpg",800,625,"https://live.staticflickr.com/2265/2223001039_888883aaee_b.jpg",1024,800,"https://live.staticflickr.com/2265/2223001039_eaac44cfbd_o.jpg",2622,2048,37.364749,11.65212,"c(37.364749, 11.65212)","1","Attribution-NonCommercial-ShareAlike License","https://creativecommons.org/licenses/by-nc-sa/2.0/"
1,2222996663,"41072040@N00","8dcac1f5e9",2272,3,"Kebran Gabriel Monastery — men only!",NA,NA,NA,2008-01-27 18:15:44,2008-01-27 18:48:13,2008-01-15 08:03:18,0,0,494,0,0,16,0,"gmXEMRBTUb66RWQX",2345309,NA,NA,NA,NA,"https://live.staticflickr.com/2272/2222996663_8dcac1f5e9_s.jpg",75,75,"https://live.staticflickr.com/2272/2222996663_8dcac1f5e9_t.jpg",100,76,"https://live.staticflickr.com/2272/2222996663_8dcac1f5e9_m.jpg",240,183,"https://live.staticflickr.com/2272/2222996663_8dcac1f5e9_q.jpg",150,150,"https://live.staticflickr.com/2272/2222996663_8dcac1f5e9.jpg",500,382,"https://live.staticflickr.com/2272/2222996663_8dcac1f5e9_n.jpg",320,244,"https://live.staticflickr.com/2272/2222996663_8dcac1f5e9_z.jpg",640,488,"https://live.staticflickr.com/2272/2222996663_8dcac1f5e9_c.jpg",800,610,"https://live.staticflickr.com/2272/2222996663_8dcac1f5e9_b.jpg",1024,781,"https://live.staticflickr.com/2272/2222996663_ff640c8b30_o.jpg",2684,2048,37.364836,11.650206,"c(37.364836, 11.650206)","1","Attribution-NonCommercial-ShareAlike License","https://creativecommons.org/licenses/by-nc-sa/2.0/"
1,2223796266,"41072040@N00","2039f182c2",2382,3,"Kebran Gabriel Monastery — some treasures",NA,NA,NA,2008-01-27 18:18:07,2011-04-15 05:55:58,2008-01-15 08:11:52,0,0,517,0,1,16,0,"gmXEMRBTUb66RWQX",2345309,NA,NA,NA,NA,"https://live.staticflickr.com/2382/2223796266_2039f182c2_s.jpg",75,75,"https://live.staticflickr.com/2382/2223796266_2039f182c2_t.jpg",66,100,"https://live.staticflickr.com/2382/2223796266_2039f182c2_m.jpg",159,240,"https://live.staticflickr.com/2382/2223796266_2039f182c2_q.jpg",150,150,"https://live.staticflickr.com/2382/2223796266_2039f182c2.jpg",332,500,"https://live.staticflickr.com/2382/2223796266_2039f182c2_n.jpg",213,320,"https://live.staticflickr.com/2382/2223796266_2039f182c2_z.jpg",425,640,"https://live.staticflickr.com/2382/2223796266_2039f182c2_c.jpg",531,800,"https://live.staticflickr.com/2382/2223796266_2039f182c2_b.jpg",680,1024,"https://live.staticflickr.com/2382/2223796266_083d1f97de_o.jpg",1360,2048,37.364709,11.652183,"c(37.364709, 11.652183)","1","Attribution-NonCommercial-ShareAlike License","https://creativecommons.org/licenses/by-nc-sa/2.0/"
1,2223005287,"41072040@N00","0efa223667",2217,3,"Kebran Gabriel Monastery — ancient texts",NA,NA,NA,2008-01-27 18:19:04,2008-01-27 18:48:12,2008-01-15 08:13:17,0,0,487,0,0,16,0,"gmXEMRBTUb66RWQX",2345309,NA,NA,NA,NA,"https://live.staticflickr.com/2217/2223005287_0efa223667_s.jpg",75,75,"https://live.staticflickr.com/2217/2223005287_0efa223667_t.jpg",66,100,"https://live.staticflickr.com/2217/2223005287_0efa223667_m.jpg",159,240,"https://live.staticflickr.com/2217/2223005287_0efa223667_q.jpg",150,150,"https://live.staticflickr.com/2217/2223005287_0efa223667.jpg",332,500,"https://live.staticflickr.com/2217/2223005287_0efa223667_n.jpg",213,320,"https://live.staticflickr.com/2217/2223005287_0efa223667_z.jpg",425,640,"https://live.staticflickr.com/2217/2223005287_0efa223667_c.jpg",531,800,"https://live.staticflickr.com/2217/2223005287_0efa223667_b.jpg",680,1024,"https://live.staticflickr.com/2217/2223005287_f5bb405457_o.jpg",1360,2048,37.364709,11.652183,"c(37.364709, 11.652183)","1","Attribution-NonCommercial-ShareAlike License","https://creativecommons.org/licenses/by-nc-sa/2.0/"
1,2223800890,"41072040@N00","32944d4ca9",2310,3,"Kebran Gabriel Monastery — ancient texts",NA,NA,NA,2008-01-27 18:19:55,2012-07-19 15:25:51,2008-01-15 08:14:16,0,0,616,0,0,16,0,"gmXEMRBTUb66RWQX",2345309,NA,NA,NA,NA,"https://live.staticflickr.com/2310/2223800890_32944d4ca9_s.jpg",75,75,"https://live.staticflickr.com/2310/2223800890_32944d4ca9_t.jpg",66,100,"https://live.staticflickr.com/2310/2223800890_32944d4ca9_m.jpg",159,240,"https://live.staticflickr.com/2310/2223800890_32944d4ca9_q.jpg",150,150,"https://live.staticflickr.com/2310/2223800890_32944d4ca9.jpg",332,500,"https://live.staticflickr.com/2310/2223800890_32944d4ca9_n.jpg",213,320,"https://live.staticflickr.com/2310/2223800890_32944d4ca9_z.jpg",425,640,"https://live.staticflickr.com/2310/2223800890_32944d4ca9_c.jpg",531,800,"https://live.staticflickr.com/2310/2223800890_32944d4ca9_b.jpg",680,1024,"https://live.staticflickr.com/2310/2223800890_64bf352988_o.jpg",1360,2048,37.364709,11.652183,"c(37.364709, 11.652183)","1","Attribution-NonCommercial-ShareAlike License","https://creativecommons.org/licenses/by-nc-sa/2.0/"
1,2223009529,"41072040@N00","85463bfb7a",2087,3,"Kebran Gabriel Monastery — ancient texts",NA,NA,NA,2008-01-27 18:20:48,2012-07-19 15:25:50,2008-01-15 08:15:13,0,0,578,0,0,16,0,"gmXEMRBTUb66RWQX",2345309,NA,NA,NA,NA,"https://live.staticflickr.com/2087/2223009529_85463bfb7a_s.jpg",75,75,"https://live.staticflickr.com/2087/2223009529_85463bfb7a_t.jpg",66,100,"https://live.staticflickr.com/2087/2223009529_85463bfb7a_m.jpg",159,240,"https://live.staticflickr.com/2087/2223009529_85463bfb7a_q.jpg",150,150,"https://live.staticflickr.com/2087/2223009529_85463bfb7a.jpg",332,500,"https://live.staticflickr.com/2087/2223009529_85463bfb7a_n.jpg",213,320,"https://live.staticflickr.com/2087/2223009529_85463bfb7a_z.jpg",425,640,"https://live.staticflickr.com/2087/2223009529_85463bfb7a_c.jpg",531,800,"https://live.staticflickr.com/2087/2223009529_85463bfb7a_b.jpg",680,1024,"https://live.staticflickr.com/2087/2223009529_b42969faa4_o.jpg",1360,2048,37.364709,11.652183,"c(37.364709, 11.652183)","1","Attribution-NonCommercial-ShareAlike License","https://creativecommons.org/licenses/by-nc-sa/2.0/"
1,2223808234,"41072040@N00","28ef33a6d0",2183,3,"Kebran Gabriel Monastery — Church murals",NA,NA,NA,2008-01-27 18:22:57,2008-01-27 18:48:12,2008-01-15 08:20:46,0,0,608,0,0,16,0,"gmXEMRBTUb66RWQX",2345309,NA,NA,NA,NA,"https://live.staticflickr.com/2183/2223808234_28ef33a6d0_s.jpg",75,75,"https://live.staticflickr.com/2183/2223808234_28ef33a6d0_t.jpg",100,66,"https://live.staticflickr.com/2183/2223808234_28ef33a6d0_m.jpg",240,159,"https://live.staticflickr.com/2183/2223808234_28ef33a6d0_q.jpg",150,150,"https://live.staticflickr.com/2183/2223808234_28ef33a6d0.jpg",500,332,"https://live.staticflickr.com/2183/2223808234_28ef33a6d0_n.jpg",320,213,"https://live.staticflickr.com/2183/2223808234_28ef33a6d0_z.jpg",640,425,"https://live.staticflickr.com/2183/2223808234_28ef33a6d0_c.jpg",800,531,"https://live.staticflickr.com/2183/2223808234_28ef33a6d0_b.jpg",1024,680,"https://live.staticflickr.com/2183/2223808234_da11cc9eaa_o.jpg",3083,2048,37.364515,11.652038,"c(37.364515, 11.652038)","1","Attribution-NonCommercial-ShareAlike License","https://creativecommons.org/licenses/by-nc-sa/2.0/"
1,2223028927,"41072040@N00","464e13c7a2",2379,3,"Kebran Gabriel Monastery — church doors",NA,NA,NA,2008-01-27 18:28:20,2016-06-13 10:26:15,2008-01-15 08:23:24,0,0,475,1,0,16,0,"gmXEMRBTUb66RWQX",2345309,NA,NA,NA,NA,"https://live.staticflickr.com/2379/2223028927_464e13c7a2_s.jpg",75,75,"https://live.staticflickr.com/2379/2223028927_464e13c7a2_t.jpg",100,66,"https://live.staticflickr.com/2379/2223028927_464e13c7a2_m.jpg",240,159,"https://live.staticflickr.com/2379/2223028927_464e13c7a2_q.jpg",150,150,"https://live.staticflickr.com/2379/2223028927_464e13c7a2.jpg",500,332,"https://live.staticflickr.com/2379/2223028927_464e13c7a2_n.jpg",320,213,"https://live.staticflickr.com/2379/2223028927_464e13c7a2_z.jpg",640,425,"https://live.staticflickr.com/2379/2223028927_464e13c7a2_c.jpg",800,531,"https://live.staticflickr.com/2379/2223028927_464e13c7a2_b.jpg",1024,680,"https://live.staticflickr.com/2379/2223028927_3e43d1042a_o.jpg",3083,2048,37.364605,11.651942,"c(37.364605, 11.651942)","1","Attribution-NonCommercial-ShareAlike License","https://creativecommons.org/licenses/by-nc-sa/2.0/"
