"license","id","owner","secret","server","farm","title","ispublic","isfriend","isfamily","dateupload","lastupdate","datetaken","datetakengranularity","datetakenunknown","count_views","count_faves","count_comments","accuracy","context","place_id","woeid","geo_is_public","geo_is_contact","geo_is_friend","geo_is_family","url_sq","height_sq","width_sq","url_t","height_t","width_t","url_s","height_s","width_s","url_q","height_q","width_q","url_m","height_m","width_m","url_n","height_n","width_n","url_z","height_z","width_z","url_c","height_c","width_c","url_o","height_o","width_o","url_l","height_l","width_l","longitude","latitude","geometry","within","license_name","license_url"
0,9077539449,"33944202@N06","70922f35af",3703,4,"young Weaver - Ploceus",NA,NA,NA,2013-06-18 20:04:55,2014-12-04 19:20:03,2013-01-01 17:43:00,0,0,99,0,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/3703/9077539449_70922f35af_s.jpg",75,75,"https://live.staticflickr.com/3703/9077539449_70922f35af_t.jpg",78,100,"https://live.staticflickr.com/3703/9077539449_70922f35af_m.jpg",187,240,"https://live.staticflickr.com/3703/9077539449_70922f35af_q.jpg",150,150,"https://live.staticflickr.com/3703/9077539449_70922f35af.jpg",390,500,"https://live.staticflickr.com/3703/9077539449_70922f35af_n.jpg",250,320,"https://live.staticflickr.com/3703/9077539449_70922f35af_z.jpg",499,640,"https://live.staticflickr.com/3703/9077539449_70922f35af_c.jpg",624,800,"https://live.staticflickr.com/3703/9077539449_1230f490f9_o.jpg",624,800,NA,NA,NA,37.386166,11.597666,"c(37.386166, 11.597666)","1","All Rights Reserved","NA"
0,9196046938,"33944202@N06","fb87d294a0",3735,4,"Lake Tana, near the source of the Blue Nile River",NA,NA,NA,2013-07-02 20:25:41,2017-10-19 00:13:32,2013-01-02 07:43:17,0,0,61,0,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/3735/9196046938_fb87d294a0_s.jpg",75,75,"https://live.staticflickr.com/3735/9196046938_fb87d294a0_t.jpg",75,100,"https://live.staticflickr.com/3735/9196046938_fb87d294a0_m.jpg",179,240,"https://live.staticflickr.com/3735/9196046938_fb87d294a0_q.jpg",150,150,"https://live.staticflickr.com/3735/9196046938_fb87d294a0.jpg",373,500,"https://live.staticflickr.com/3735/9196046938_fb87d294a0_n.jpg",239,320,"https://live.staticflickr.com/3735/9196046938_fb87d294a0_z.jpg",478,640,"https://live.staticflickr.com/3735/9196046938_fb87d294a0_c.jpg",598,800,"https://live.staticflickr.com/3735/9196046938_52d9aafb4e_o.jpg",1936,2592,"https://live.staticflickr.com/3735/9196046938_fb87d294a0_b.jpg",765,1024,37.3865,11.5975,"c(37.3865, 11.5975)","1","All Rights Reserved","NA"
0,9079764686,"33944202@N06","bbca5f664e",5509,6,"African Pied Wagtail - Motacilla aguimp",NA,NA,NA,2013-06-18 20:04:55,2014-12-04 19:19:13,2013-01-02 17:04:42,0,0,53,0,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/5509/9079764686_bbca5f664e_s.jpg",75,75,"https://live.staticflickr.com/5509/9079764686_bbca5f664e_t.jpg",93,100,"https://live.staticflickr.com/5509/9079764686_bbca5f664e_m.jpg",222,240,"https://live.staticflickr.com/5509/9079764686_bbca5f664e_q.jpg",150,150,"https://live.staticflickr.com/5509/9079764686_bbca5f664e.jpg",463,500,"https://live.staticflickr.com/5509/9079764686_bbca5f664e_n.jpg",296,320,NA,NA,NA,NA,NA,NA,"https://live.staticflickr.com/5509/9079764686_8bf2016a41_o.jpg",472,510,NA,NA,NA,37.386166,11.597666,"c(37.386166, 11.597666)","1","All Rights Reserved","NA"
0,9077538471,"33944202@N06","67b4845a7c",5441,6,"IMG_0937",NA,NA,NA,2013-06-18 20:05:01,2013-06-18 20:05:04,2013-01-03 08:37:04,0,0,32,0,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/5441/9077538471_67b4845a7c_s.jpg",75,75,"https://live.staticflickr.com/5441/9077538471_67b4845a7c_t.jpg",93,100,"https://live.staticflickr.com/5441/9077538471_67b4845a7c_m.jpg",224,240,"https://live.staticflickr.com/5441/9077538471_67b4845a7c_q.jpg",150,150,"https://live.staticflickr.com/5441/9077538471_67b4845a7c.jpg",466,500,"https://live.staticflickr.com/5441/9077538471_67b4845a7c_n.jpg",298,320,"https://live.staticflickr.com/5441/9077538471_67b4845a7c_z.jpg",596,640,"https://live.staticflickr.com/5441/9077538471_67b4845a7c_c.jpg",745,800,"https://live.staticflickr.com/5441/9077538471_6f51f7b988_o.jpg",1118,1200,"https://live.staticflickr.com/5441/9077538471_67b4845a7c_b.jpg",954,1024,37.386166,11.597333,"c(37.386166, 11.597333)","1","All Rights Reserved","NA"
0,9689967142,"101443570@N08","d587dc9b07",5536,6,"my love",NA,NA,NA,2013-09-06 21:15:49,2013-09-06 21:15:51,2013-01-04 10:44:32,0,0,13,0,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/5536/9689967142_d587dc9b07_s.jpg",75,75,"https://live.staticflickr.com/5536/9689967142_d587dc9b07_t.jpg",100,75,"https://live.staticflickr.com/5536/9689967142_d587dc9b07_m.jpg",240,179,"https://live.staticflickr.com/5536/9689967142_d587dc9b07_q.jpg",150,150,"https://live.staticflickr.com/5536/9689967142_d587dc9b07.jpg",500,373,"https://live.staticflickr.com/5536/9689967142_d587dc9b07_n.jpg",320,239,"https://live.staticflickr.com/5536/9689967142_d587dc9b07_z.jpg",640,478,NA,NA,NA,"https://live.staticflickr.com/5536/9689967142_0231516aa8_o.jpg",478,640,NA,NA,NA,37.382,11.5945,"c(37.382, 11.5945)","1","All Rights Reserved","NA"
0,9774982954,"101443570@N08","083fa7837e",7372,8,"",NA,NA,NA,2013-09-16 16:49:14,2013-09-16 16:49:17,2013-01-04 10:43:35,0,0,17,0,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/7372/9774982954_083fa7837e_s.jpg",75,75,"https://live.staticflickr.com/7372/9774982954_083fa7837e_t.jpg",100,75,"https://live.staticflickr.com/7372/9774982954_083fa7837e_m.jpg",240,179,"https://live.staticflickr.com/7372/9774982954_083fa7837e_q.jpg",150,150,"https://live.staticflickr.com/7372/9774982954_083fa7837e.jpg",500,373,"https://live.staticflickr.com/7372/9774982954_083fa7837e_n.jpg",320,239,"https://live.staticflickr.com/7372/9774982954_083fa7837e_z.jpg",640,478,"https://live.staticflickr.com/7372/9774982954_083fa7837e_c.jpg",800,598,"https://live.staticflickr.com/7372/9774982954_ceb53eacbe_o.jpg",1936,2592,"https://live.staticflickr.com/7372/9774982954_083fa7837e_b.jpg",1024,765,37.381833,11.594666,"c(37.381833, 11.594666)","1","All Rights Reserved","NA"
0,9686729127,"101443570@N08","1091e79b65",5346,6,"my love",NA,NA,NA,2013-09-06 21:15:54,2013-09-06 21:15:56,2013-01-04 10:44:07,0,0,14,0,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/5346/9686729127_1091e79b65_s.jpg",75,75,"https://live.staticflickr.com/5346/9686729127_1091e79b65_t.jpg",100,75,"https://live.staticflickr.com/5346/9686729127_1091e79b65_m.jpg",240,179,"https://live.staticflickr.com/5346/9686729127_1091e79b65_q.jpg",150,150,"https://live.staticflickr.com/5346/9686729127_1091e79b65.jpg",500,373,"https://live.staticflickr.com/5346/9686729127_1091e79b65_n.jpg",320,239,"https://live.staticflickr.com/5346/9686729127_1091e79b65_z.jpg",640,478,NA,NA,NA,"https://live.staticflickr.com/5346/9686729127_d6bcf8b597_o.jpg",478,640,NA,NA,NA,37.381833,11.594666,"c(37.381833, 11.594666)","1","All Rights Reserved","NA"
0,9689979208,"101443570@N08","5fdd818ec5",3721,4,"my love",NA,NA,NA,2013-09-06 21:18:23,2013-09-06 21:18:24,2013-01-04 10:42:58,0,0,10,0,0,16,0,"gNBqY0dQUbvJmRNL",1313880,NA,NA,NA,NA,"https://live.staticflickr.com/3721/9689979208_5fdd818ec5_s.jpg",75,75,"https://live.staticflickr.com/3721/9689979208_5fdd818ec5_t.jpg",100,75,"https://live.staticflickr.com/3721/9689979208_5fdd818ec5_m.jpg",240,179,"https://live.staticflickr.com/3721/9689979208_5fdd818ec5_q.jpg",150,150,"https://live.staticflickr.com/3721/9689979208_5fdd818ec5.jpg",500,373,"https://live.staticflickr.com/3721/9689979208_5fdd818ec5_n.jpg",320,239,"https://live.staticflickr.com/3721/9689979208_5fdd818ec5_z.jpg",640,478,NA,NA,NA,"https://live.staticflickr.com/3721/9689979208_8a5a40eb2a_o.jpg",478,640,NA,NA,NA,37.382166,11.594666,"c(37.382166, 11.594666)","1","All Rights Reserved","NA"
0,8525877433,"72948589@N00","573dc1989c",8389,9,"ETP-4802-20130123.jpg",NA,NA,NA,2013-03-04 02:26:36,2018-10-21 20:12:31,2013-01-23 14:14:16,0,0,208,0,0,16,0,"Tc6Z_ZpUVLrj07dHLA",56017381,NA,NA,NA,NA,"https://live.staticflickr.com/8389/8525877433_573dc1989c_s.jpg",75,75,"https://live.staticflickr.com/8389/8525877433_573dc1989c_t.jpg",67,100,"https://live.staticflickr.com/8389/8525877433_573dc1989c_m.jpg",160,240,"https://live.staticflickr.com/8389/8525877433_573dc1989c_q.jpg",150,150,"https://live.staticflickr.com/8389/8525877433_573dc1989c.jpg",334,500,"https://live.staticflickr.com/8389/8525877433_573dc1989c_n.jpg",214,320,"https://live.staticflickr.com/8389/8525877433_573dc1989c_z.jpg",427,640,"https://live.staticflickr.com/8389/8525877433_573dc1989c_c.jpg",534,800,NA,NA,NA,"https://live.staticflickr.com/8389/8525877433_573dc1989c_b.jpg",683,1024,37.449102,12.487119,"c(37.449102, 12.487119)","1","All Rights Reserved","NA"
0,8532441325,"72948589@N00","994f613dac",8532,9,"ETP-4814-20130123.jpg",NA,NA,NA,2013-03-06 05:19:21,2018-10-21 20:12:30,2013-01-23 14:19:13,0,0,116,0,0,16,0,"CBa7wAlQUbu8Dys6",1315232,NA,NA,NA,NA,"https://live.staticflickr.com/8532/8532441325_994f613dac_s.jpg",75,75,"https://live.staticflickr.com/8532/8532441325_994f613dac_t.jpg",67,100,"https://live.staticflickr.com/8532/8532441325_994f613dac_m.jpg",160,240,"https://live.staticflickr.com/8532/8532441325_994f613dac_q.jpg",150,150,"https://live.staticflickr.com/8532/8532441325_994f613dac.jpg",334,500,"https://live.staticflickr.com/8532/8532441325_994f613dac_n.jpg",214,320,"https://live.staticflickr.com/8532/8532441325_994f613dac_z.jpg",427,640,"https://live.staticflickr.com/8532/8532441325_994f613dac_c.jpg",534,800,NA,NA,NA,"https://live.staticflickr.com/8532/8532441325_994f613dac_b.jpg",683,1024,37.488383,12.467894,"c(37.488383, 12.467894)","1","All Rights Reserved","NA"
