id,author_id,lang,created_at,geo__coordinates__coordinates__001,geo__coordinates__coordinates__002,text,entities__urls__url,,,,,
1.34431E+18,1726282015,und,2020-12-30T15:36:22.000Z,,,https://t.co/2PoM65jA7b,https://t.co/2PoM65jA7b,,,,,
1.34326E+18,225140621,in,2020-12-27T18:08:24.000Z,,,Bahar Dar???? https://t.co/VaGgzSm9eo,https://t.co/VaGgzSm9eo,,,,,
1.34324E+18,2674645587,und,2020-12-27T17:11:03.000Z,,,@lia_tadesse https://t.co/Kv67v7YFLt,https://t.co/Kv67v7YFLt,,,,,
1.34275E+18,1721612510,en,2020-12-26T08:47:43.000Z,,,This morning the #HI team cheers for the runners??????? at #idpd2020 in #BahirDar. A bit later than planned #Ethiopia gets to celebrate #idpd2020. https://t.co/oCtfVAZlDK,https://t.co/oCtfVAZlDK,,,,,
1.33995E+18,1.32117E+18,en,2020-12-18T15:22:24.000Z,37.388,11.5925,Just posted a photo @ Bahir Dar https://t.co/Hiw9QkF4mm,https://t.co/Hiw9QkF4mm,,,,,
1.3319E+18,1.33043E+18,und,2020-11-26T10:07:47.000Z,,,@GoI_MeitY https://t.co/GxaMyohGfp,https://t.co/GxaMyohGfp,,,,,
1.32874E+18,7.25979E+17,und,2020-11-17T16:26:19.000Z,,,https://t.co/idKVQl4YGa,https://t.co/idKVQl4YGa,,,,,
1.32513E+18,93622688,und,2020-11-07T17:51:21.000Z,,,Tis #Abay   ?? https://t.co/SnBLQTB3sb,https://t.co/SnBLQTB3sb,,,,,
1.32512E+18,93622688,en,2020-11-07T16:46:54.000Z,,,Unparalelled beauty ??\n\n#BlueNile  #Waterfalls  #Ethiopia https://t.co/lcARGmW5n8,https://t.co/lcARGmW5n8,,,,,
1.30842E+18,9.07306E+17,pl,2020-09-22T14:45:21.000Z,,,z afterwork brewzki on z lake #BahirDar #Amhara #Ethiopia https://t.co/ru5cXmAUJ7,https://t.co/ru5cXmAUJ7,,,,,
1.30801E+18,1940217950,en,2020-09-21T12:05:09.000Z,37.388,11.5925,Just posted a photo @ Bahir Dar https://t.co/tCSsxui1Zm,https://t.co/tCSsxui1Zm,,,,,
1.30798E+18,413219870,in,2020-09-21T09:38:45.000Z,37.388,11.5925,Tis esat @ Bahir Dar https://t.co/ydUYU4Uu7W,https://t.co/ydUYU4Uu7W,,,,,
1.30586E+18,9.92432E+17,in,2020-09-15T13:04:29.000Z,,,?? Sileshi Bayih https://t.co/XRCIk8kBBp,https://t.co/XRCIk8kBBp,,,,,
1.29503E+18,9.29588E+17,en,2020-08-16T16:25:34.000Z,37.388,11.5925,Just posted a photo @ Bahir Dar https://t.co/oEFIiwchNB,https://t.co/oEFIiwchNB,,,,,
1.29415E+18,201250523,en,2020-08-14T05:52:04.000Z,37.388,11.5925,???? ??? ??\nShe's got the eyes for photography \n@bethina_abrha @ Bahir Dar https://t.co/JONNpR3GMm,https://t.co/JONNpR3GMm,,,,,
1.29329E+18,260111321,ar,2020-08-11T21:02:28.000Z,37.388,11.5925,"??? ??? ???????. ???? ??? ????? ?????? ??????? ? ???? ???? ? ?????? ?? ????? ????? ???? ????? ??? ??????.. ?? ???? ???? ???? ?????? ? ??????? ?????? ???????.. ???????? ???? ? ??????? ????… https://t.co/RpVbVmfEyP",https://t.co/RpVbVmfEyP,,,,,
1.29134E+18,4424001023,en,2020-08-06T11:42:42.000Z,37.381,11.5998,Bahirdar Grand Resort Hotel view from my room at Jacaranda Hotel ?? being watched by Alex @kerrywashington @simienimage #simienimage #travelethiopia???? @ Jacaranda Hotel Bd https://t.co/yJGY2dIcSc,https://t.co/yJGY2dIcSc,,,,,
1.28755E+18,1.11844E+18,und,2020-07-27T00:43:43.000Z,,,https://t.co/ogLghQGlMN,https://t.co/ogLghQGlMN,,,,,
1.27477E+18,1.02403E+18,en,2020-06-21T18:29:56.000Z,,,"Sorry I was busy streaming the occurrence,\n\nHere are some pictures I took from  Tis Abay, ??????????????????????????????????????????????????????\n\n#TisAbay\n#Ethiopia\n#EthiopianSolarEclipse\n#EthiopianAnnularSolarEclipse \n#annualsolareclipse #Annular_Eclipse #AnnularSolarEclipse2020 https://t.co/NgMZ7PHdxR https://t.co/XfyZteA6Et",https://t.co/NgMZ7PHdxR,,,,,
1.27441E+18,1.02403E+18,en,2020-06-20T18:21:57.000Z,,,@ProfKindeya @MekUniETH @DrKebedeN Awesome Prof. \nI wish you a very successful event!\nWe will also be live streaming from Tis Abay. https://t.co/JWCbbXhTOX,https://t.co/JWCbbXhTOX,,,,,
1.27439E+18,1.18948E+18,en,2020-06-20T17:11:18.000Z,,,#fill the dam,,,,,,
1.26926E+18,1.21042E+18,und,2020-06-06T13:23:24.000Z,,,#?????????? ??   \n#????????????? \n#???????????? \n#?????????????!!!\n#SaveLakeTana https://t.co/w1QuoT2717,https://t.co/w1QuoT2717,,,,,
1.2609E+18,3023172234,en,2020-05-14T12:04:08.000Z,37.3833,11.6001,fuck tempess,,,,,,
1.25832E+18,15082697,en,2020-05-07T09:08:25.000Z,37.3819,11.596,"The Great Lockdown. Reading in Ethiopia for the last 1700 years has involved making your own parchment, then binding your own Coptic books and then using scribes to write your texts. Small but beautiful. Craft and… https://t.co/mygBzt6qL9",https://t.co/mygBzt6qL9,,,,,
1.2519E+18,1.09238E+18,en,2020-04-19T15:54:18.000Z,,,Sun halo this morning at lake tana https://t.co/0ADryIenqk,https://t.co/0ADryIenqk,,,,,
1.24621E+18,260111321,ar,2020-04-03T22:44:24.000Z,37.388,11.5925,"???? ??????? ?? ?????? ???? ??????? ????? ????? ????? ????? ????? ??? ?????.. ????????? ?? ????? ????????? ???? ?? ??? ????????? ?? ??? ????? ?????? ????????? ??? ????.. ?? ???? ????? ??????? ???? ???? ???????? ??… https://t.co/sYiJYm2Q2p",https://t.co/sYiJYm2Q2p,,,,,
1.24422E+18,1.23382E+18,am,2020-03-29T11:22:24.000Z,,,???? ??? ????? ??\n???? ??? ????? ???\n      #Covid_19\n#COVID19eth,,,,,,
1.2417E+18,1.21238E+18,am,2020-03-22T12:26:07.000Z,,,??? ???? https://t.co/nunGrbYUbk,https://t.co/nunGrbYUbk,,,,,
1.24073E+18,1.03937E+18,ca,2020-03-19T20:12:42.000Z,,,hi hi?? https://t.co/2llRX3bFYL,https://t.co/2llRX3bFYL,,,,,
1.23633E+18,2584605360,en,2020-03-07T16:36:38.000Z,,,@lizziereese09 @discolemonad3 Miss u too!,,,,,,
1.23633E+18,2584605360,en,2020-03-07T16:21:26.000Z,,,@lizziereese09 11 days,,,,,,
1.23631E+18,2584605360,en,2020-03-07T15:20:03.000Z,,,nigga just went full Discovery Channel today,,,,,,
1.23422E+18,1726541742,fr,2020-03-01T21:02:16.000Z,37.3845,11.5986,Dallol salt plain! #dalloldepression #greatsaltplains #bonafideethiopiatours @ Bona Fide Ethiopia Tour and Travel operation https://t.co/hWFq8Q1O4y,https://t.co/hWFq8Q1O4y,,,,,
1.23197E+18,613663907,de,2020-02-24T15:42:36.000Z,,,Hab heut Nilpferde in freier Wildbahn gesehen aaaaaahhh!!!!! https://t.co/HaqBKg72pb,https://t.co/HaqBKg72pb,,,,,
1.23123E+18,764207366,en,2020-02-22T15:05:10.000Z,,,STRIPE by the lakeside @AshGondar @DrBinyam @StripeHiv @AFREHealth https://t.co/LjzIh4umMG,https://t.co/LjzIh4umMG,,,,,
1.22652E+18,200751009,en,2020-02-09T14:59:43.000Z,37.3641,11.5988,It’s hot here.  A cold beer is good to find and this is a nice lager. - Drinking a Cold Gold by Habesha Breweries @ Homland hotel  — https://t.co/ugK5nuvXb6,https://t.co/ugK5nuvXb6,,,,,
1.22536E+18,1726541742,en,2020-02-06T10:11:17.000Z,37.3845,11.5986,Abysinian ground horn bills..I capture this pic bird crossing the road on our drive to Langono. #birds_captures #groundhornbill #bonafideethiopiatours #mobilephotography #ethiopia @ Bona Fide Ethiopia Tour and Travel… https://t.co/b0fwDRMevc,https://t.co/b0fwDRMevc,,,,,
